"ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","Unique.ID"
"8a1cef80dd483fa2231284ac0817c0d9","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","","",0.998455261,"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_"
"8a1d2b65fd916fa20d54f085e3eb1529","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","",0.999956285,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Polaribacter"
"8a266843fd12b266653342bda628d1da","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Taeseokella","",0.99999995,"Bacteria_Bacteroidota_Bacteroidia_Cytophagales_Spirosomaceae_Taeseokella"
"8a2e648ae9ad49cc9d6d46ec00ad8c74","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","","",0.999999932,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_"
"8a361a49323ce0a6e4d8872b5baaa182","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","","",0.999999998,"Bacteria_Desulfobacterota_Desulfobulbia_Desulfobulbales_Desulfocapsaceae_"
"8a42251c6038a972589563826f3a691b","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","",0.999999379,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Flavobacterium"
"8a4232e45f2ed717f5eccf508299765f","Bacteria","Planctomycetota","OM190","OM190","OM190","OM190","uncultured_planctomycete",0.925998421,"Bacteria_Planctomycetota_OM190_OM190_OM190_OM190"
"8a60c63965ca980f4755938876c027e9","Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","Calditrichaceae","uncultured_Deferribacteres",0.999939136,"Bacteria_Calditrichota_Calditrichia_Calditrichales_Calditrichaceae_Calditrichaceae"
"8a6977f0507895ab484f4f2ffd158828","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Haloferula","uncultured_bacterium",0.916044121,"Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Rubritaleaceae_Haloferula"
"8a7bae959f32e1a00afc8e79043df277","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacula","",0.985727914,"Bacteria_Desulfobacterota_Desulfobacteria_Desulfobacterales_Desulfobacteraceae_Desulfobacula"
