Cruise,StationID,SAMPLE_ID,Sample_Name_Final,Location,Depth_m,BottomDepth_m_,Date_yyyy_mm_dd_,Lat_dd_ddddN_,Lon_dd_ddddE_,Transect,Month,Year,Distance_from_glacier,Salinity_PSU,NO3_uM,NO2_uM,PO4_uM,NH3_uM,SiO4_uM,Temp_C,CTD.depth,Dis_O2_Conc,Turbidity_NTU,ChlA_ug_L,N2,rho,Upwelling.Classification
V2208,S1,S1_4,Grise_Fiord_S1_60_2022,Grise Fiord,60,543,8/1/22,76.3654,-82.96305,Grise Fiord-out,August,2022,90.113,32.63567257,8.67,0.09,0.94,0.1,15.1,-1.236186218,60,339.9832703,0.021923828,0.228253174,2.42E-05,1026.538865,Below 50m
V2208,S1,S1_B2,Grise_Fiord_S1_90_2022,Grise Fiord,90,543,8/1/22,76.3654,-82.96305,Grise Fiord-out,August,2022,90.113,32.73943973,8.73,0.06,0.92,0,14.53,-1.350170135,90,339.3054543,0.024612427,0.129535675,2.03E-05,1026.771101,Below 50m
V2208,S12,Stn12_4,Grise_Fiord_S12_25_2022,Grise Fiord,25,62,8/4/22,76.6621,-83.37883,Grise Fiord-out,August,2022,124.199,30.89070383,1.01,0.04,0.61,1.02,3.16,-0.26682226,25,385.6883541,0.011484597,0.162314398,NA,1024.925299,No upwelling
V2208,S12,Stn12_2,Grise_Fiord_S12_50_2022,Grise Fiord,50,62,8/4/22,76.6621,-83.37883,Grise Fiord-out,August,2022,124.199,32.47,1.4,0.05,0.67,0.97,4.37,-1.248853048,50,354.6563428,1.394419352,1.169987996,NA,1026.349577,No upwelling
V2208,S13,Stn13_6,Grise_Fiord_S13_30_2022,Grise Fiord,30,163,8/4/22,76.59278,-83.20113,Grise Fiord-out,August,2022,115.257,31.33804727,0.16,0.01,0.52,0.53,1.22,-0.452560425,30,394.7431793,0.086212158,0.582204183,0.000311781,1025.317496,No upwelling
V2208,S13,Stn13_8,Grise_Fiord_S13_5_2022,Grise Fiord,5,163,8/4/22,76.59278,-83.20113,Grise Fiord-out,August,2022,115.257,28.23546298,0,0,0.4,0.43,0.9,0.867538452,5,348.5359713,0.315979004,0.181846619,0.016385876,1022.644799,No upwelling
V2208,S13,Stn13_4,Grise_Fiord_S13_55_2022,Grise Fiord,55,163,8/4/22,76.59278,-83.20113,Grise Fiord-out,August,2022,115.257,32.38081608,2.87,0.16,0.83,2.74,5.96,-1.312643433,55,366.2150482,0.05078125,0.226541138,0.00021814,1026.310689,Below 50m
V2208,S13,Stn13_2,Grise_Fiord_S13_90_2022,Grise Fiord,90,163,8/4/22,76.59278,-83.20113,Grise Fiord-out,August,2022,115.257,32.72941399,7.46,0.13,0.9,0.26,12.48,-1.635246277,90,334.1028951,0.155680339,0.197255452,1.95E-05,1026.771445,Below 50m
A2108,JS39,JS39_5,Harbour_39_5_2021,Harbour,5,17,8/23/21,76.65457,-84.30954,Harbour_out,August,2021,0,29.77235062,0.04,0,0.45,1.01,2.17,1.946061915,5,333.2759342,0.168713194,0.430421078,0.008229234,1023.817801,No upwelling
A2108,JS40,JS40_20,Harbour_40_20_2021,Harbour,20,100,8/16/21,76.63211,-84.28867,Harbour_out,August,2021,24.847,31.64693614,2.77,0.03,0.71,0.71,4.75,0.394337856,20,389.2011423,0.198801676,0.301582105,0.000258283,1025.48249,No upwelling
A2108,JS40,JS40_5,Harbour_40_5_2021,Harbour,5,50,8/23/21,76.64662,-84.28867,Harbour_out,August,2021,1.033,30.27611087,0,0,0.48,0.62,2.15,1.643485907,5,340.6272517,0.047911673,0.374512644,0.004585068,1024.239798,No upwelling
A2108,JS3,JS3_100,Jakeman_3_100_2021,Jakeman,100,130,8/8/21,76.42742,-81.05199,Jakeman_practice,August,2021,4.657,32.90524343,10.13,0.1,1.14,0.74,NA,-1.147681323,100,302.7489836,0.564960364,0.267489809,8.17E-05,1026.94631,Below 50m
