"","Cruise","StationID","SAMPLE_ID","Sample_Name_Final","Location","Depth_m","BottomDepth_m_","Date_yyyy_mm_dd_","Lat_dd_ddddN_","Lon_dd_ddddE_","Transect","Month","Water","Season","Year","Distance_from_glacier","Nut_Sample_ID","Salinity_PSU","NO3_uM","NO2_uM","PO4_uM","NH3_uM","SiO4_uM","Station_SCM","Temp_C","CTD.depth","Dis_O2_Conc","Turbidity_NTU","ChlA_ug_L","N2","rho","iso.NO3_uM","d15N","d15N_stdev","d18O_mean","d18O_stdev","iso_submission_confirmation","mapping.DFG","Glacier_name","Environment.type","mapping.depth","Glacial.status","layer","layer.dfg","upwelling.3"
"28","A2108","JS3","JS3_5","Jakeman_3_5_2021","Jakeman",5,"130","8/8/21","76.42742","-81.05199","Jakeman_practice","August","Marine","Summer",2021,4.657,"JS3_5","30.89594546","0","0.01","0.41","0.1","1.19",NA,"2.248701153","5","350.2945871","0.587770404","0.113470829","0.000950625","1024.695402","-","-","-","-","-","yes","3>x<10","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"29","A2108","JS40b","JS40b_20","Jakeman_40b_20_2021","Jakeman",20,"49","8/28/21","76.44554","-80.91896","Jakeman_out","August","Marine","Summer",2021,0.652,"JS40b_20","32.11347287","0.57","0","0.62","1.11","3.4","0.5","0.445811994","20","307.9790216","0.570171934","0.354394393","0.000213758","1025.854197","-","-","-","-","-","yes","<3","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"30","A2108","JS40b","JS40b_5","Jakeman_40b_5_2021","Jakeman",5,"49","8/28/21","76.44554","-80.91896","Jakeman_out","August","Marine","Summer",2021,0.652,"JS40b_5","31.26007369","0.57","0.01","0.44","0.76","2.56","0.5","1.954993277","5","309.257725","2.797477029","0.726048325","0.000176034","1025.007142","-","-","-","-","-","no","<3","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"31","A2108","JS 41b","JS41b_20","Jakeman_41b_20_2021","Jakeman",20,"62","8/28/21","76.44192","-80.93029","Jakeman_out","August","Marine","Summer",2021,1.14,"JS41b_20","31.8080186","1.82","0.03","0.72","1.27","3.68","1.5","1.072257764","20","317.5607751","0.869598389","0.460146586","0.000449241","1025.573818","1.82","6.05","-","7.87","-","yes","<3","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"32","A2108","JS 41b","JS41b_5","Jakeman_41b_5_2021","Jakeman",5,"62","8/28/21","76.44192","-80.93029","Jakeman_out","August","Marine","Summer",2021,1.14,"JS41b_5","31.30293727","0.43","0.01","0.44","0","2.54","1.5","1.932057583","5","319.6143976","2.058244647","0.901655949","0.000136336","1025.043014","-","-","-","-","-","yes","<3","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"33","A2108","JS42b","JS42b_5","Jakeman_42b_5_2021","Jakeman",5,"60","8/28/21","76.43834","-80.94122","Jakeman_out","August","Marine","Summer",2021,1.624,"JS42b_5","31.28681979","0.36","0.01","0.36","0.13","1.55","0.5","1.981302897","5","323.689879","2.389971184","0.852752917","2.76E-05","1025.026741","-","-","-","-","-","no","<3","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"34","A2108","JS44b","JS44b_20","Jakeman_44b_20_2021","Jakeman",20,"46","8/28/21","76.43106","-80.96379","Jakeman_out","August","Marine","Summer",2021,2.621,"JS44b_20","31.31033844","0.38","0","0.31","0","0.99","45.5","1.968348185","20","327.0856689","0.615889116","0.773846019","1.57E-05","1025.117416","-","-","-","-","-","yes","<3","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"35","A2108","JS44b","JS44b_5","Jakeman_44b_5_2021","Jakeman",5,"46","8/28/21","76.43106","-80.96379","Jakeman_out","August","Marine","Summer",2021,2.621,"JS44b_5","31.30220475","0.64","0.05","0.46","0.01","2.39","45.5","2.00738352","5","326.5457575","1.38906398","0.915190726","4.98E-05","1025.037245","-","-","-","-","-","yes","<3","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"36","A2108","JS46b","JS46b_20","Jakeman_46b_20_2021","Jakeman",20,"60","8/28/21","76.4231","-80.98564","Jakeman_out","August","Marine","Summer",2021,3.667,"JS46b_20","31.37853525","0.66","0.01","0.46","0.07","2.54","18.5","1.750176285","20","327.9188897","0.546507864","0.684570313","8.26E-05","1025.186852","-","-","-","-","-","yes","3>x<10","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"37","A2108","JS46b","JS46b_5","Jakeman_46b_5_2021","Jakeman",5,"60","8/28/21","76.4231","-80.98564","Jakeman_out","August","Marine","Summer",2021,3.667,"JS46b_5","31.29272219","0.55","0.01","0.46","0","2.34","18.5","1.97491062","5","328.1385662","0.841985529","0.634928385","3.15E-05","1025.031919","-","-","-","-","-","yes","3>x<10","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"38","A2108","JS5","JS5_20","Jakeman_5_20_2021","Jakeman",20,"38","8/8/21","76.45033","-80.90704","Jakeman_practice","August","Marine","Summer",2021,0.247,"JS5_20","32.06216976","1.67","0.02","0.66","0.75",NA,NA,"-0.127302193","20","342.3579132","2.453784642","0.534714994","0.000176825","1025.840462","1.67","19.7","-","5.74","-","yes","<3","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"39","A2108","JS50","JS50_20","Jakeman_50_20_2021","Jakeman",20,"175","8/28/21","76.40201","-81.05327","Jakeman_out","August","Marine","Summer",2021,6.601,"JS50_20","31.86883497",NA,NA,NA,NA,NA,"1.5","0.966506033","20","331.3043808","0.191969438","0.412105907","0.000359569","1025.628931","-","-","-","-","-","no","3>x<10","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"40","A2108","JS50","JS50_5","Jakeman_50_5_2021","Jakeman",5,"175","8/28/21","76.40201","-81.05327","Jakeman_out","August","Marine","Summer",2021,6.601,"JS50_5","31.35569862",NA,NA,NA,NA,NA,"1.5","1.765099265","5","328.6545399","0.462162827","0.685966261","0.000198815","1025.09654","-","-","-","-","-","no","3>x<10","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"41","V2108","JS14","JS14_1","Jones_Sound_14_28_2021","Jones Sound",28,"800","8/18/21","76.10733","-83.26508","Jones Sound","August","Marine","Summer",2021,35.556,"JS14_1","31.90988119","0.51","0.01","0.56","0.03","2.78","27.831","0.137735598","28","408.197451","0.730906631","9.900204976","0.000651324","1025.743909","-","-","-","-","-","yes",">10","Open Sound","Open Sound","0-50 m","Open Water","No Upwelling, 0-50m","Open Water, upper 50m","Open Water, upper 50m"
"42","A2108","JS2","JS2_5","Jones_Sound_2_5_2021","Jones Sound",5,"350","8/7/21","76.41322","-82.97484","Jones _Sound_Practice","August","Marine","Summer",2021,1.72,"JS2_5","29.50118994","0.79","0.01","0.32","1.56","2.04",NA,"1.916474429","5","381.3461288","0.131853508","0.247337341","0.002977927","1023.601295","-","-","-","-","-","yes","<3","Open Sound","Open Sound","0-50 m","Open Water","No Upwelling, 0-50m","Open Water, upper 50m","Open Water, upper 50m"
